id;nombre_autor;apellido_autor;origen_autor
1;Subida;Rioja;Parafarmacia Parafarmacia deliverables
2;input Money;Cine;Avon
3;partnerships Soporte B2C;overriding Re-contextualizado;Rioja
4;bypassing;Operaciones Cantabria Asistente;Corporativo users Senda
5;Salchichas Madera Administrador;Calle Aplicaciones;Funcionario productividad Seychelles
6;programming;Calidad;bricks-and-clicks
7;Bebes compress Kenia;Jefe 24/365;Algodón Home
8;SCSI;CFP Zapatos Plástico;Silla calculating
9;architect Rampa;Sorprendente Aragón monitorizar;compelling
10;Aragón;demanda;programming
