id;estado_prestamo;fecha_prestamo;fecha_devolucion
1;DEVUELTO;2023-05-27T13:29:49;2023-05-27T08:26:10
2;INICIADO;2023-05-27T09:09:20;2023-05-27T11:14:30
3;INICIADO;2023-05-27T19:13:07;2023-05-27T17:51:56
4;INICIADO;2023-05-27T06:27:07;2023-05-27T06:49:06
5;INICIADO;2023-05-27T04:53:20;2023-05-27T18:05:25
6;DEVUELTO;2023-05-26T20:57:46;2023-05-27T04:58:36
7;INICIADO;2023-05-27T10:23:05;2023-05-27T16:48:11
8;DEVUELTO;2023-05-27T20:40:45;2023-05-27T08:26:45
9;DEVUELTO;2023-05-27T11:36:12;2023-05-27T14:23:53
10;DEVUELTO;2023-05-27T10:24:04;2023-05-27T18:13:14
